Id,data_venda,vendedor,equipe,categoria_servico,servico,quantidade,preco_unitario,custo,cliente,estado,regiao
1,2023-07-30,Isabella,Equipe Solaris,Desenvolvimento,Desenvolvimento Web,12,1032.24,689.98,da Luz,SP,sudeste
2,2022-09-29,Agatha,Equipe Solaris,Desenvolvimento,Desenvolvimento Web,19,793.88,403.56,Vieira Melo S/A,PE,nordeste
3,2024-07-05,Danilo,Equipe Solaris,Consultoria,Treinamento em TI,20,1482.79,973.56,Costa e Filhos,MG,sudeste
4,2024-05-17,Luna,Equipe Solaris,Consultoria,Auditoria de Sistemas,11,1368.3,1201.3,Jesus,PR,sul
5,2023-05-10,Danilo,Equipe Solaris,Consultoria,Consultoria em TI,15,1072.9,633.6,da Rocha,SC,sul
6,2024-08-28,Ana Júlia,Equipe Solaris,Consultoria,Auditoria de Sistemas,3,706.63,411.74,Ribeiro,CE,nordeste
7,2023-11-15,Luna,Equipe Solaris,Infraestrutura,Suporte Técnico,12,486.23,312.21,Lopes,CE,nordeste
8,2023-09-08,Isabella,Equipe Solaris,Infraestrutura,Monitoramento de Sistemas,18,436.81,386.27,Gomes,PE,nordeste
9,2022-11-18,Agatha,Equipe Solaris,Infraestrutura,Monitoramento de Sistemas,10,422.69,337.68,da Paz Jesus S/A,RO,norte
10,2023-11-05,Isabella,Equipe Solaris,Consultoria,Consultoria em TI,20,255.48,199.59,Oliveira,RS,sul
11,2024-01-16,Danilo,Equipe Solaris,Infraestrutura,Monitoramento de Sistemas,16,562.19,386.51,Moura,MT,centro-oeste
12,2024-02-03,Ana Júlia,Equipe Solaris,Consultoria,Consultoria em TI,15,356.03,200.39,Moreira das Neves e Filhos,MT,centro-oeste
13,2024-03-25,Ana Júlia,Equipe Solaris,Consultoria,Consultoria em TI,4,643.62,527.38,das Neves,GO,centro-oeste
14,2023-01-30,Ana Júlia,Equipe Solaris,Desenvolvimento,Desenvolvimento Web,4,272.85,155.75,Pereira S.A.,BA,nordeste
15,2025-04-21,Danilo,Equipe Solaris,Infraestrutura,Suporte Técnico,6,1439.02,729.13,Santos Porto S/A,BA,nordeste
16,2024-04-07,Luna,Equipe Solaris,Infraestrutura,Backup em Nuvem,4,368.59,294.29,Sales,RO,norte
17,2024-08-24,Danilo,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,2,1177.41,1019.36,Lopes Ltda.,RJ,sudeste
18,2023-08-07,Ana Júlia,Equipe Solaris,Desenvolvimento,Desenvolvimento de Software,6,333.74,279.46,Araújo,GO,centro-oeste
19,2022-11-22,Danilo,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,14,432.07,308.76,Mendes,SC,sul
20,2022-07-19,Danilo,Equipe Solaris,Consultoria,Gestão de Projetos de TI,17,579.58,364.7,Novaes - EI,MG,sudeste
21,2022-09-08,Danilo,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,4,672.82,502.13,Correia,RJ,sudeste
22,2023-08-10,Isabella,Equipe Solaris,Infraestrutura,Suporte Técnico,14,763.04,445.97,Moura,BA,nordeste
23,2024-03-27,Ana Júlia,Equipe Solaris,Consultoria,Treinamento em TI,2,234.03,125.27,Nascimento Araújo - ME,SC,sul
24,2024-05-15,Agatha,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,7,1216.19,724.5,Castro,SC,sul
25,2023-12-24,Ana Júlia,Equipe Solaris,Desenvolvimento,Desenvolvimento de Software,9,767.94,463.48,Castro,RJ,sudeste
26,2022-11-30,Isabella,Equipe Solaris,Consultoria,Treinamento em TI,17,1178.56,1022.77,Costa Moreira - ME,SC,sul
27,2022-10-12,Agatha,Equipe Solaris,Consultoria,Gestão de Projetos de TI,12,514.18,390.4,Cardoso S.A.,SC,sul
28,2022-12-07,Luna,Equipe Solaris,Desenvolvimento,Desenvolvimento de Software,5,1005.6,863.21,Almeida Porto - ME,SC,sul
29,2022-09-08,Luna,Equipe Solaris,Consultoria,Auditoria de Sistemas,20,554.71,411.16,Moreira e Filhos,PE,nordeste
30,2023-10-12,Danilo,Equipe Solaris,Consultoria,Auditoria de Sistemas,12,1020.49,678.15,Novaes,RJ,sudeste
31,2024-04-07,Danilo,Equipe Solaris,Infraestrutura,Backup em Nuvem,11,1073.95,667.26,Nascimento,GO,centro-oeste
32,2022-06-29,Agatha,Equipe Solaris,Desenvolvimento,Desenvolvimento de Software,17,765.28,393.68,Cardoso,RO,norte
33,2023-04-11,Agatha,Equipe Solaris,Consultoria,Consultoria em TI,10,849.88,665.43,da Cruz,PA,norte
34,2024-01-08,Ana Júlia,Equipe Solaris,Desenvolvimento,Desenvolvimento de Software,15,152.18,79.46,das Neves,GO,centro-oeste
35,2024-10-10,Luna,Equipe Solaris,Consultoria,Auditoria de Sistemas,4,226.91,162.56,Lopes,PR,sul
36,2022-06-01,Isabella,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,4,346.41,224.03,Gomes,CE,nordeste
37,2025-04-07,Agatha,Equipe Solaris,Consultoria,Gestão de Projetos de TI,2,723.92,403.5,Viana,AM,norte
38,2024-01-31,Ana Júlia,Equipe Solaris,Infraestrutura,Backup em Nuvem,11,211.69,149.41,Rodrigues Santos - ME,PA,norte
39,2025-05-16,Ana Júlia,Equipe Solaris,Consultoria,Auditoria de Sistemas,1,1183.16,1019.23,Carvalho Cardoso Ltda.,PR,sul
40,2023-12-02,Luna,Equipe Solaris,Desenvolvimento,Integração de Sistemas,1,198.76,128.13,Moreira,AM,norte
41,2024-05-14,Agatha,Equipe Solaris,Infraestrutura,Suporte Técnico,5,533.55,287.68,Araújo Ltda.,BA,nordeste
42,2022-12-13,Agatha,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,11,1498.9,894.87,das Neves - ME,AM,norte
43,2022-11-05,Luna,Equipe Solaris,Consultoria,Treinamento em TI,6,704.17,443.74,da Conceição,CE,nordeste
44,2022-11-03,Isabella,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,17,1214.59,680.87,Rocha,PA,norte
45,2024-04-02,Ana Júlia,Equipe Solaris,Consultoria,Gestão de Projetos de TI,7,1014.36,692.03,Castro Ribeiro Ltda.,PE,nordeste
46,2024-03-07,Luna,Equipe Solaris,Consultoria,Consultoria em TI,14,1485.81,1272.14,da Mata Costela - EI,PE,nordeste
47,2025-03-18,Danilo,Equipe Solaris,Desenvolvimento,Automação de Processos,2,602.34,410.81,Cunha,RJ,sudeste
48,2022-11-09,Luna,Equipe Solaris,Desenvolvimento,Automação de Processos,5,547.02,428.14,Farias Ltda.,SP,sudeste
49,2023-10-27,Danilo,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,4,1489.06,1100.77,Cunha,SC,sul
50,2023-09-19,Luna,Equipe Solaris,Consultoria,Treinamento em TI,1,256.9,148.31,Silveira,PA,norte
51,2023-05-23,Ana Júlia,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,15,1269.26,682.47,Campos Vieira - EI,PR,sul
52,2023-07-05,Danilo,Equipe Solaris,Desenvolvimento,Desenvolvimento Web,9,302.72,188.44,Rodrigues S/A,BA,nordeste
53,2023-01-28,Isabella,Equipe Solaris,Desenvolvimento,Desenvolvimento de Software,17,1430.02,1069.44,Pinto,RO,norte
54,2024-06-26,Luna,Equipe Solaris,Infraestrutura,Suporte Técnico,11,509.28,453.12,Barbosa Ltda.,RO,norte
55,2024-10-14,Luna,Equipe Solaris,Consultoria,Auditoria de Sistemas,16,829.77,624.23,Barbosa,AM,norte
56,2023-11-18,Agatha,Equipe Solaris,Desenvolvimento,Integração de Sistemas,1,373.11,272.02,Rocha,BA,nordeste
57,2025-03-10,Isabella,Equipe Solaris,Consultoria,Consultoria em TI,8,814.22,465.2,da Cruz,SC,sul
58,2024-01-25,Luna,Equipe Solaris,Infraestrutura,Suporte Técnico,5,1021.04,738.23,da Mota,MG,sudeste
59,2025-04-01,Luna,Equipe Solaris,Desenvolvimento,Automação de Processos,6,736.7,533.22,da Luz,BA,nordeste
60,2025-03-08,Ana Júlia,Equipe Solaris,Desenvolvimento,Automação de Processos,6,765.91,653.08,Farias,RJ,sudeste
61,2022-11-16,Ana Júlia,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,14,156.66,138.52,Duarte S/A,PA,norte
62,2023-03-17,Danilo,Equipe Solaris,Consultoria,Auditoria de Sistemas,12,595.17,406.24,Fogaça S.A.,GO,centro-oeste
63,2023-06-06,Isabella,Equipe Solaris,Consultoria,Consultoria em TI,8,566.18,399.09,da Rocha,PE,nordeste
